Russian,English
Привет,Hello
Пока,Bye
Да,Yes
Нет,No
Спасибо,Thank you
Пожалуйста,Please
Извините,Sorry
Помощь,Help
Любовь,Love
Друг,Friend
Семья,Family
Время,Time
День,Day
Ночь,Night
Неделя,A week
Месяц,Month
Год,Year
Солнце,Sun
Луна,Moon
Звезда,Star
Вода,Water
Огонь,Fire
Земля,Earth
Воздух,Air
Еда,Food
Пить,Drink
Есть,Eat
Спать,Sleep
Просыпаться,Wake up
Бежать,Run
Ходить,Walk
Стоять,Stand
Идти,Go
Счастливый,Happy
Грустный,Sad
Злой,Wicked
Смех,Laughter
Плач,Cry
Петь,Sing
Танцевать,Dance
Играть,Play
Читать,Read
Писать,Write
Учить,Learn
Учиться,Study
Слушать,Listen
Говорить,Speak
Видеть,See
Слышать,Hear
Трогать,Touch
Пробовать,Sample
Нюхать,To sniff
Большой,Big
Маленький,Small
Горячий,Hot
Холодный,Cold
Новый,New
Старый,Old
Хороший,Good
Плохой,Bad
Красивый,Beautiful
Некрасивый,Ugly
Быстрый,Fast
Медленный,Slow
Сильный,Strong
Смех,Laughter
Печаль,Sadness
Смешной,Funny
Серьезный,Serious
Важный,Important
Легкий,Easy
Трудный,Difficult
Первый,First
Последний,Last
Один,One
Два,Two
Три,Three
Четыре,Four
Пять,Five
Шесть,Six
Семь,Seven
Восемь,Eight
Девять,Nine
Десять,Ten
Я,I
Ты,You
Он,He
Она,She
Мы,We
Они,They
Вы,You
Это,This
То,That
Здесь,Here
Там,There
Сейчас,Now
Тогда,Then
И,AND
Или,Or
